Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Barra do Piraí (RJ),74.14,15.3,4.72,719.16
Barra do Quaraí (RS),73.13,15.4,7.83,483.29
Barra do Ribeiro (RS),74.32,13.7,7.43,589.16
Barra do Rio Azul (RS),75.5,12.1,8.41,634.55
Barra do Rocha (BA),67.29,36.4,28.77,304.56
Barra dos Coqueiros (SE),71.54,23.1,14.22,448.81
Barra do Turvo (SP),72.53,18.8,18.48,390.88
Barra Funda (RS),76.36,11,5.49,757.01
Barra Longa (MG),74.36,16.3,16.94,362.62
Barra Mansa (RJ),74.14,14.91,4.15,705.1
Barras (PI),71.74,22.8,34.75,257.99
Barra Velha (SC),76.42,11.7,4.93,773.05
Barreira (CE),71.25,22.9,29.72,246.69
Barreiras (BA),73.43,18.1,11.08,602.82
Barreiras do Piauí (PI),68.81,31.7,21.79,260.79
Barreirinha (AM),71.45,21.5,11.43,148.28
Barreirinhas (MA),70.11,29,27.97,197.08
Barreiros (PE),68.82,30.6,25.14,263.2
Barretos (SP),77.5,10.13,4.21,917
Barrinha (SP),74.74,15.1,8.91,668.32
Barro Alto (BA),69.36,29.4,19.78,247.32
Barro Alto (GO),76.21,11.6,13.59,628.55
Barrocas (BA),72.18,21.2,21.21,284.41
Barro (CE),70.49,25,25.2,254.44
Barro Duro (PI),68.72,32,29.75,359.06
Barrolândia (TO),73.99,16.2,17.18,335.26
Barro Preto (BA),69.63,28.6,28.31,287.6
Barroquinha (CE),68.2,32.2,40.2,192.96
Barros Cassal (RS),72.71,16.1,16.39,587.45
Barroso (MG),76.84,12.6,6.86,535.1
Barueri (SP),76.96,11.34,4.27,1095.84
Bastos (SP),75.86,13.4,7.27,609.76
Bataguassu (MS),75.8,16.4,10.99,614.34
Batalha (AL),70.1,29.2,33.44,265.62
Batalha (PI),70.31,26.9,38.74,230.66
Batatais (SP),75.41,13,5.27,941.79
Batayporã (MS),73.83,19.9,13.44,631.47
Baturité (CE),70.2,25.9,23.7,284.88
Bauru (SP),76.26,12.18,3.21,1163.86
Bayeux (PB),71.73,22.4,16.54,376.74
Bebedouro (SP),76.16,12,5.06,881.64
Beberibe (CE),71.67,21.8,28.28,304.61
Bela Cruz (CE),70.57,24.8,29.64,221.07
Belágua (MA),67.4,38.4,43.12,107.14
Bela Vista da Caroba (PR),74.68,13.1,15.1,507.41
Bela Vista de Goiás (GO),75.21,12.9,9.91,708.62
Bela Vista de Minas (MG),72.72,19.1,7.32,440.23
Bela Vista do Maranhão (MA),69.07,32.4,31.69,197.65
Bela Vista do Paraíso (PR),75.65,11.9,12.71,710.14
Bela Vista do Piauí (PI),67.52,36.1,24.28,203.61
Bela Vista do Toldo (SC),74.58,14.2,5.87,389.28
Bela Vista (MS),74.81,18.1,9.98,621.23
Belém (AL),70.86,26.8,36.01,309.5
Belém de Maria (PE),69.95,27.1,35.48,226.82
Belém do Brejo do Cruz (PB),71.72,22.4,41.01,245.71
Belém do Piauí (PI),66.77,38.9,39.25,226.26
Belém do São Francisco (PE),72.06,21.1,23.26,357.77
Belém (PA),74.33,16.06,3.47,853.82
Belém (PB),70.55,25.7,36.5,256.2
Belford Roxo (RJ),73.5,16.54,5.25,491.51
Belmiro Braga (MG),74.81,15.6,13.67,464.5
Belmonte (BA),71.26,23.7,26.85,289.9
Belmonte (SC),74.17,14.8,10.01,620.67
Belo Campo (BA),70.59,25.6,28.29,263.52
Belo Horizonte (MG),76.37,12.95,2.99,1497.29
Belo Jardim (PE),71.95,21.4,26.62,372.93
Belo Monte (AL),68.49,34.5,41.81,187.77
Belo Oriente (MG),73.77,17.3,12.47,470.05
Belo Vale (MG),73.86,17.1,9.15,524.03
Belterra (PA),71.51,22.5,13.57,241.57
Beneditinos (PI),71.82,22.6,35.04,263.09
Benedito Leite (MA),68.14,35.6,31.52,217.65
Benedito Novo (SC),77.08,10.8,4.34,717.89
Benevides (PA),72.9,18.9,7.3,385.83
Benjamin Constant (AM),70.78,23.2,24.12,211.1
Benjamin Constant do Sul (RS),73.03,15.6,15.3,336.44
Bento de Abreu (SP),74.17,16,8.28,647.1
Bento Fernandes (RN),69.22,29.1,30.82,233.48
Bento Gonçalves (RS),75.52,12.1,2.31,1196.56
Bequimão (MA),70.42,28,26.27,190.84
Berilo (MG),73.97,17,22.43,295.62
Berizal (MG),70.41,23.4,27.03,261.24
Bernardino Batista (PB),67.96,34,34.12,211.04
Bernardino de Campos (SP),75.26,14.3,6.57,676.6
Bernardo do Mearim (MA),69.49,31,28.76,236.18
Bernardo Sayão (TO),69.9,26.9,19.74,347.03
Bertioga (SP),74.03,16.3,5.81,736.03
Bertolínia (PI),70.47,26.4,26.59,325.94
Bertópolis (MG),72.96,18.7,31.05,288.77
Beruri (AM),68.85,29,27.95,193.4
Betânia do Piauí (PI),67.1,37.6,41.74,164.69
Betânia (PE),69.53,28.4,35.2,220.19
Betim (MG),76.82,12.68,5.7,660.56
Bezerros (PE),70.1,26.6,29.96,351.75
Bias Fortes (MG),72.75,19,15.89,344.35
Bicas (MG),75.99,13.8,6.9,735
Biguaçu (SC),75.17,13.3,4.91,764.37
Bilac (SP),75.7,12.6,8.13,816.06
Biquinhas (MG),76.4,13.3,11.71,565.37
Birigui (SP),77.14,11.7,4.75,812.51
Biritiba-Mirim (SP),72.7,18.5,9.36,662.23
Biritinga (BA),69.26,29.7,28.1,209.37
Bituruna (PR),74.72,13.1,8.78,443.43
Blumenau (SC),78.64,8.55,1.84,1253.17
Boa Esperança do Iguaçu (PR),75.88,11.6,8.92,527.03
Boa Esperança do Sul (SP),73.63,16.9,11.39,593.36
Boa Esperança (ES),73.95,15.6,17.82,460.69
Boa Esperança (MG),76.28,13.4,8.22,599.17
Boa Esperança (PR),73.5,15.8,14.12,575.77
Boa Hora (PI),71.31,24,40.99,221.27
Boa Nova (BA),70.18,26.8,34.67,223.48
Boa Ventura de São Roque (PR),73.09,15.4,12.88,415.44
Boa Ventura (PB),72.38,20.7,31.27,271.06
Boa Viagem (CE),71.09,23.3,35.58,250.47
Boa Vista da Aparecida (PR),73.06,16.5,16.84,510.39
Boa Vista das Missões (RS),74.5,13.4,9.52,505.89
Boa Vista do Buricá (RS),75.02,13.5,1.97,909.95
Boa Vista do Cadeado (RS),76.04,11.4,5.91,594.94
Boa Vista do Gurupi (MA),65.86,44.3,26.19,196.78
Boa Vista do Incra (RS),77.02,10.2,5.34,633.52
Boa Vista do Ramos (AM),69.99,25.5,8.61,175.55
Boa Vista do Sul (RS),76.11,11.3,7.72,964.35
Boa Vista do Tupim (BA),68.75,31.4,33.52,195.71
Boa Vista (PB),72.73,21.33,17.29,314.11
Boa Vista (RR),73.95,15.39,6.27,786.55
Boca da Mata (AL),70.47,28,29.81,260.2
Boca do Acre (AM),71.59,21.1,29.56,288.42
Bocaina de Minas (MG),75.87,14,18.79,501.73
Bocaina do Sul (SC),71.05,19.9,12.2,434.87
Bocaina (PI),71.37,23.8,24,366.07
Bocaina (SP),75.41,13,6.76,805.99
Bocaiúva do Sul (PR),73.96,15.1,9.77,547.26
Bocaiúva (MG),74.29,16.4,13.43,451.54
Bodocó (PE),69.67,27.9,32.17,234.36
Bodoquena (MS),71.54,24.4,11.76,500.13
Bodó (RN),71.33,22.8,26.59,277.16
Bofete (SP),74.23,15.9,8.58,622.11
Boituva (SP),76.67,12.3,5.2,889.51
Bombinhas (SC),76.86,11.1,3.64,865.15
Bom Conselho (PE),67.22,36.1,36.59,305.57
Bom Despacho (MG),76.66,12.9,6.2,809.9
Bom Jardim da Serra (SC),75.12,13.4,9.06,665.6
Bom Jardim de Goiás (GO),73.68,15,17.5,551.54
Bom Jardim de Minas (MG),74.34,16.4,12.45,464.99
Bom Jardim (MA),69.98,29.4,34.45,202.28
Bom Jardim (PE),70.99,24,32.55,248.98
Bom Jardim (RJ),73.56,16.1,11.35,649.62
Bom Jesus da Lapa (BA),71.51,23,20.8,367.62
Bom Jesus da Penha (MG),76.74,12.8,11.87,607.73
Bom Jesus da Serra (BA),69.95,27.6,29.31,223.19
Bom Jesus das Selvas (MA),70.05,29.2,29.4,226.09
Bom Jesus de Goiás (GO),76.59,11.1,11.78,618.62
Bom Jesus do Amparo (MG),75.01,15.3,10.78,472.21
Bom Jesus do Araguaia (MT),72.02,20.4,11.34,500.5
Bom Jesus do Galho (MG),73.01,18.6,19.92,368
Bom Jesus do Itabapoana (RJ),74.16,15.2,10.35,717.69
Bom Jesus do Norte (ES),76.22,12.5,9.59,584.06
Bom Jesus do Oeste (SC),74.82,13.8,7.79,728.09
Bom Jesus dos Perdões (SP),73.1,17.8,6.72,688.02
Bom Jesus do Sul (PR),73.31,15.1,11.03,430.51
Bom Jesus do Tocantins (PA),71.61,22.3,22.88,337.28
Bom Jesus do Tocantins (TO),74.98,14,16.23,381.43
Bom Jesus (PB),70.72,25.2,27.12,303.29
Bom Jesus (PI),72.93,19.6,19.55,501.14
Bom Jesus (RN),69.56,28,34.66,300.38
Bom Jesus (RS),74.89,12.9,8.4,611.26
Bom Jesus (SC),74.59,14.2,11.15,798.97
Bom Lugar (MA),69.48,31,34.59,164.44
Bom Princípio do Piauí (PI),71.19,24.3,36.74,211.44
Bom Princípio (RS),75.18,13.3,1.82,855.42
Bom Progresso (RS),75.42,12.2,10.89,623.82
Bom Repouso (MG),74.25,16.5,11.61,447.85
Bom Retiro do Sul (RS),76.39,11,3.62,728.62
Bom Retiro (SC),77.13,10.8,10.99,638.85
Bom Sucesso de Itararé (SP),71.49,20.8,12.51,344.32
Bom Sucesso do Sul (PR),75.18,12.5,2,639.33
Bom Sucesso (MG),73.49,17.8,13.13,551.39
Bom Sucesso (PB),70.14,26.9,32.77,257.9
Bom Sucesso (PR),74.21,13.8,14.68,592.27
Bonfim do Piauí (PI),67.42,36.5,35.97,233.05
Bonfim (MG),75.01,15.3,13.28,512.94
Bonfim (RR),73.52,16.1,14.71,329.22
Bonfinópolis de Minas (MG),72.73,19.1,13.88,472.15
Bonfinópolis (GO),74,14.6,11.47,520.02
Boninal (BA),72.35,20.8,24.08,267.7
Bonito (BA),66.12,40.8,22.6,249
Bonito de Minas (MG),71.57,21.2,29.85,195.65
Bonito de Santa Fé (PB),72.18,21.2,31.28,267.09
Bonito (MS),74.86,18,9.99,679.03
Bonito (PA),71.22,23.3,23.23,218.05
Bonito (PE),70.26,26.1,34.07,258.52
Bonópolis (GO),73.75,14.9,20.55,403.94
Boqueirão do Leão (RS),75.59,12,11.59,726.61
Boqueirão do Piauí (PI),68.71,32,35.3,253.4
Boqueirão (PB),70.79,25,26.13,319.11
Boquim (SE),71.27,23.8,26.17,296.54
Boquira (BA),71.91,21.9,28.03,266.71
Boracéia (SP),76.93,11.9,8.19,719.42
Borá (SP),76.77,12.2,10.22,670.27
Borba (AM),71.53,21.3,17.29,219.83
Borborema (PB),69.99,27.4,35.36,236.01
Borborema (SP),74.83,15,8.61,664.64
Borda da Mata (MG),76.92,12.5,8.66,635.37
Borebi (SP),75.73,13.6,9.9,529.08
Borrazópolis (PR),75.29,12.3,12.51,604.08
Bossoroca (RS),74.24,13.8,8.46,502.18
Botelhos (MG),77.07,12.3,9.71,630.12
Botucatu (SP),77.13,10.8,4.29,1089.1
Botumirim (MG),71.94,20.5,18.73,230.25
Botuporã (BA),70.24,26.7,28.68,235.16
Botuverá (SC),75.87,12.4,6.21,805.77
Bozano (RS),76.18,12,5.43,982.06
Braço do Norte (SC),77.83,9.9,3.76,831.77
Braço do Trombudo (SC),77.99,9.7,3.56,941.12
Bragança (PA),70.27,26.1,16.94,311.97
Bragança Paulista (SP),76.67,10.62,4.6,974.08
Braganey (PR),72.83,15.8,14.18,580.75
Braga (RS),74.81,13,14.76,475.39
Branquinha (AL),66.96,40.2,45.67,221.93
Brasilândia de Minas (MG),75.87,14,11.45,444.35
Brasilândia do Sul (PR),73.8,14.4,16.57,550.58
Brasilândia do Tocantins (TO),74.84,14.3,18.47,428.48
Brasilândia (MS),75.24,17.4,11.29,709.29
Brasiléia (AC),71.22,24.2,19.58,376.07
Brasileira (PI),70.1,27.5,39.18,281.71
Brasília de Minas (MG),73.78,17.3,16.7,360.93
Brasília (DF),77.35,14.01,3.66,1715.11
Brasil Novo (PA),73.55,17.4,19.15,408.55
Brasnorte (MT),76,13.9,10.01,602.75
Brasópolis (MG),75.45,14.6,10.73,613.88
Brás Pires (MG),73.03,18.5,14.73,299.02
Braúnas (MG),73.1,18.4,19.8,416.84
Braúna (SP),74.77,15.1,9.44,726.71
Brazabrantes (GO),74.57,13.8,11.75,541.9
Brejão (PE),68.51,31.6,34.48,230.85
Brejetuba (ES),74.65,14.6,20.53,402.56
Brejinho de Nazaré (TO),74.2,15.7,17.98,414.87
Brejinho (PE),65.84,41.3,27.23,266.21
Brejinho (RN),68.29,32.1,33.67,304.8
Brejo Alegre (SP),74.54,15.4,12.38,631.02
Brejo da Madre de Deus (PE),69.06,29.8,34.79,296.7
Brejo de Areia (MA),65.64,45.3,38.69,187.95
Brejo do Cruz (PB),72.85,19.4,33.63,287.2
Brejo do Piauí (PI),68.49,32.8,40.74,218.15
Brejo dos Santos (PB),71.58,22.8,30.2,267.6
Brejões (BA),71.49,23.1,26.29,261.14
Brejo Grande do Araguaia (PA),69.57,28.2,21.85,310.08
Brejo Grande (SE),67.03,37.6,34.45,197.69
Brejolândia (BA),69.73,28.2,28.18,221.22
Brejo (MA),70.45,27.9,32.24,200.25
Brejo Santo (CE),71.06,23.4,24.35,325.64
Breu Branco (PA),71.87,21.6,22.15,252.31
Breves (PA),71.65,22.2,26.91,209.14
Britânia (GO),73.11,17.8,16.59,594.38
Brochier (RS),76.06,11.4,3.46,720.21
Brodowski (SP),76.81,12.1,4.37,787.91
Brotas de Macaúbas (BA),70.24,26.7,22.85,247.49
Brotas (SP),73.9,16.5,6.98,722.76
Brumadinho (MG),76.39,13.3,6.77,910.31
Brumado (BA),73.41,18.1,17.35,403.22
Brunópolis (SC),74.12,14.8,14.51,446.48
Brusque (SC),78.64,8.55,2.81,1116.93
Bueno Brandão (MG),75.9,14,10.96,491.08
Buenópolis (MG),72.74,19,16.57,456.55
Buenos Aires (PE),71.66,22.2,29.84,254.03
Buerarema (BA),71.33,23.5,25.03,343.23
Bugre (MG),73.01,18.6,20.09,338.39
Buíque (PE),69.75,27.7,43.6,176.76
Bujari (AC),71.32,23.9,26.78,340.95
Bujaru (PA),71.76,21.9,15.85,174.18
Buri (SP),72.94,18.1,9.98,435.15
Buritama (SP),75.31,14.3,9.16,779.78
Buriti Alegre (GO),74.87,13.3,10.5,625.26
Buriti Bravo (MA),70.1,29,33.42,229.21
Buriticupu (MA),67.46,38.1,29.42,220.64
Buriti de Goiás (GO),73.34,15.6,14.66,650.67
Buriti dos Lopes (PI),69.09,30.7,31.95,236.13
Buriti dos Montes (PI),71.78,22.7,34.96,212.72
Buriti do Tocantins (TO),67.76,33.8,24.53,287.05
Buriti (MA),67.82,36.8,33,157.21
Buritinópolis (GO),73.76,14.9,20.35,735.72
Buritirama (BA),70.63,25.5,28.8,184.53
Buritirana (MA),68.5,34.4,30.97,230.11
Buritis (MG),73.88,17.1,16.42,505.59
Buritis (RO),70.08,25.7,10.67,458.05
Buritizal (SP),74.79,15.1,6.08,817.16
Buritizeiro (MG),71.06,22.2,15.01,340.72
Butiá (RS),75.85,11.6,8.92,590.45
Caapiranga (AM),71.49,21.4,16.27,235.49
Caaporã (PB),70.41,26.2,25.65,268.46
Caarapó (MS),74.65,18.4,13.15,537.01
Caatiba (BA),70.09,27.1,32.03,293.78
Cabaceiras do Paraguaçu (BA),70.8,25,29.21,209.45
Cabaceiras (PB),70.54,25.8,19.35,283.93
Cabeceira Grande (MG),72.25,19.9,15.67,424.47
Cabeceiras do Piauí (PI),71.11,24.5,36.74,229.86
Cabeceiras (GO),74.15,14.4,14.08,420.47
Cabedelo (PB),74.31,16,11.24,1036.21
Cabixi (RO),70.39,24.8,14.73,457.17
Cabo de Santo Agostinho (PE),73.74,17.2,13.74,467.07
Cabo Frio (RJ),75.16,15.41,5.3,815.75
Cabo Verde (MG),75.82,14.1,11.08,571.6
Cabrália Paulista (SP),73.68,16.8,10.34,507.41
Cabreúva (SP),74.67,15.2,6.64,694.03
Cabrobó (PE),71.39,22.9,25.58,298.14
Caçador (SC),77.65,10.2,6.33,744.28
Caçapava do Sul (RS),76.27,11.1,8.68,618.98
Caçapava (SP),76.5,11.6,4.38,871.87
Cacaulândia (RO),73.08,17.8,14.34,499.93
Cacequi (RS),73.39,15,7.99,550.88
Cáceres (MT),73.76,17.4,10.93,590.43
Cachoeira Alta (GO),75.39,12.6,11.66,853.32
Cachoeira (BA),70.72,25.2,17.09,368.11
Cachoeira da Prata (MG),75.02,15.3,4.06,583.28
Cachoeira de Goiás (GO),75.26,12.8,15.18,549.16
Cachoeira de Minas (MG),74.25,16.5,9.05,527.44
Cachoeira de Pajeú (MG),71.25,21.8,29.68,265.27
Cachoeira do Arari (PA),71.65,22.2,14.64,209.79
Cachoeira do Piriá (PA),71.73,22,30.96,130.4
Cachoeira dos Índios (PB),70.95,24.6,29.22,301.77
Cachoeira do Sul (RS),76.22,8.49,7.89,793.67
Cachoeira Dourada (GO),73.22,15.7,15.95,636.17
Cachoeira Dourada (MG),76.02,13.8,12.98,606.15
Cachoeira Grande (MA),71.36,25.2,33.61,110.65
Cachoeira Paulista (SP),75.19,13.3,4.38,764.6
Cachoeiras de Macacu (RJ),74.01,16.43,9.91,604.45
Cachoeirinha (PE),70.18,26.4,34.18,308.18
Cachoeirinha (RS),76.42,11.6,3.07,844.04
Cachoeirinha (TO),70.7,24.6,20.32,241.7
Cachoeiro de Itapemirim (ES),75.2,13.8,6.04,763.71
Cacimba de Areia (PB),71.25,23.7,28.93,249.79
Cacimba de Dentro (PB),71.59,22.8,42.43,246.21
Cacimbas (PB),65.3,44,40.48,181.17
Cacimbinhas (AL),66.82,40.6,43.81,259.72
Cacique Doble (RS),73.57,14.8,10.88,539.67
Cacoal (RO),74.27,14.3,8.94,738.06
Caconde (SP),76.45,12.6,8.23,627
Caçu (GO),75.4,12.6,9.48,987.3
Caculé (BA),71.12,24.1,21.62,382.15
Caém (BA),67.08,37.2,27.57,223.48
Caetanópolis (MG),75.71,14.2,5.49,531.65
Caetanos (BA),68.47,32.3,29.12,224.38
Caeté (MG),75.62,14.4,5.41,586.16
Caetés (PE),68.94,30.2,41.74,176.77
Caetité (BA),73.04,19,21.98,405.31
Cafarnaum (BA),69.03,30.4,23.76,251.31
Cafeara (PR),73.63,14.6,16.72,560.67
Cafelândia (PR),75.11,12.6,4.72,721.38
Cafelândia (SP),77.01,11.8,7.5,680.71
Cafezal do Sul (PR),72.5,16.3,16.24,569.82
Caiabu (SP),74.37,15.7,13.21,559.13
Caiana (MG),74.98,15.4,14.35,406.23
Caiapônia (GO),73.46,15.4,15.83,628.14
Caibaté (RS),76.39,11,7.37,659.58
Caibi (SC),74.82,13.8,8.96,783.57
Caiçara do Norte (RN),68.61,31,27.7,280.53
Caiçara do Rio do Vento (RN),69.01,29.7,27.68,250.07
Caiçara (PB),68.96,30.6,36.75,294.68
Caiçara (RS),74,14.1,8,712.77
Caicó (RN),74.45,13.4,16.2,637.13
Caieiras (SP),76.68,10.2,4.16,800.15
Cairu (BA),73.41,18.1,16.7,334.19
Caiuá (SP),73.13,17.8,12.46,500.47
Cajamar (SP),73.59,17,5.47,676.5
Cajapió (MA),68.2,35.4,27.25,145.01
Cajari (MA),69.79,30,23.53,136.39
Cajati (SP),74.89,14.9,10.75,481.48
Cajazeiras do Piauí (PI),70.1,27.6,33.05,210.45
Cajazeiras (PB),73.87,17,20.73,511.56
Cajazeirinhas (PB),71.35,23.4,37.65,205.12
Cajobi (SP),74.32,15.8,8.3,679.75
Cajueiro (AL),66.45,42.1,36.55,232.85
Cajueiro da Praia (PI),69.36,29.8,35.14,246.88
Cajuri (MG),73.26,18.1,12.35,333.45
Cajuru (SP),74.52,15.5,6.39,597.11
Calçado (PE),68.84,30.6,34.96,215.47
Calçoene (AP),70.51,23.1,14.03,417.71
Caldas Brandão (PB),68.39,32.5,38.5,264.06
Caldas (MG),77.35,12,8.56,627.21
Caldas Novas (GO),74.89,14.9,5.93,794.78
Caldazinha (GO),73.86,14.8,11.12,515.56
Caldeirão Grande (BA),70.46,26,31.77,211.26
Caldeirão Grande do Piauí (PI),69.63,29,37.25,262.36
Califórnia (PR),74.28,13.7,9.25,698.38
Calmon (SC),71.75,18.6,12,373.86
Calumbi (PE),67.9,33.7,35.19,272.66
Camacan (BA),71.07,24.2,24.57,351.84
Camaçari (BA),72.9,17.37,8.22,553.18
Camacho (MG),75.38,14.8,13.87,425.8
Camalaú (PB),71.18,23.9,32.04,242.92
Camamu (BA),67.61,35.3,29.1,264.63
Camanducaia (MG),75.22,15,11.55,649.49
Camapuã (MS),74.02,19.5,11.37,685.77
Camaquã (RS),74.14,14,7.44,686.36
Camaragibe (PE),73.28,18.1,11.44,473.78
Camargo (RS),76.25,11.9,9.05,916.32
Cambará do Sul (RS),75.25,12.4,7.3,643.45
Cambará (PR),74.07,14,9.14,666.89
Cambé (PR),75.42,12.44,6.77,723.34
Cambira (PR),75.09,12.6,9.48,630.19
Camboriú (SC),76.98,11,4.32,781.76
Cambuci (RJ),73.51,16.2,13.34,524.88
Cambuí (MG),77.33,12,7.67,712.9
Cambuquira (MG),76.34,13.3,9.75,588.83
Cametá (PA),70.21,26.2,11.43,226.99
Camocim (CE),68.71,30.5,28.94,269
Camocim de São Félix (PE),69.25,29.2,34.38,305.53
Campanário (MG),74.85,15.6,19.29,350.46
Campanha (MG),75.93,13.9,8.49,686.16
Campestre (AL),68.73,33.7,35.3,245.43
Campestre da Serra (RS),78.13,8.9,6.83,675.91
Campestre de Goiás (GO),72.96,16.1,13.77,398.5
Campestre do Maranhão (MA),71.41,25.1,23.41,358
Campestre (MG),75.59,14.4,9.13,669.87
Campinaçu (GO),74.12,14.4,14.29,438.93
Campina da Lagoa (PR),74.76,13.9,14.02,540.04
Campina das Missões (RS),75.91,11.6,4.27,615.85
Campina do Monte Alegre (SP),75.77,13.6,8.79,575.66
Campina do Simão (PR),72.49,16.3,12.9,330.48
Campina Grande do Sul (PR),76.58,10.7,6.39,671.29
Campina Grande (PB),73.73,17.3,12.39,630.03
Campinápolis (MT),73.17,18.4,25.88,328.15
Campinas do Piauí (PI),71.55,23.3,29.27,209
Campinas do Sul (RS),75.49,12.1,4.93,869.1
Campinas (SP),76.59,11.81,3.4,1390.83
Campina Verde (MG),77.06,12.3,8.5,681.73
Campinorte (GO),75.43,12.6,12.5,567.41
Campo Alegre (AL),69.5,31.1,29.72,217.72
Campo Alegre de Goiás (GO),73.68,15,11.41,632.7
Campo Alegre de Lourdes (BA),71.68,22.5,30.69,199.01
Campo Alegre do Fidalgo (PI),70.69,25.8,35.7,213.61
Campo Alegre (SC),75.69,12.6,4.64,539.9
Campo Azul (MG),72.96,18.7,23.67,244.97
Campo Belo do Sul (SC),71.05,19.9,15.43,450.29
Campo Belo (MG),77.1,12.3,9.17,646.71
Campo Bom (RS),76.11,11.3,3.34,879.65
Campo Bonito (PR),73.78,14.4,14.27,585.04
Campo do Brito (SE),72.57,20.3,30.62,391.94
Campo do Meio (MG),74.61,15.9,10.82,472.71
Campo do Tenente (PR),73.34,15,9.81,488.06
Campo Erê (SC),72.21,17.9,14.03,631.08
Campo Florido (MG),76.46,12.6,9.24,774.88
Campo Formoso (BA),69.94,27.6,26.64,270.05
Campo Grande (AL),69.35,31.6,42.72,181.54
Campo Grande do Piauí (PI),68.23,33.6,39.3,237.66
Campo Grande (MS),75.62,16.48,4.16,1089.37
Campo Largo do Piauí (PI),70.98,24.9,42.03,158.02
Campo Largo (PR),76.21,12.16,4.77,749.21
Campo Limpo de Goiás (GO),74.75,13.5,14.82,467.42
Campo Limpo Paulista (SP),75.4,14.1,4.47,767.85
Campo Magro (PR),74.66,13.2,6.6,567.04
Campo Maior (PI),72.58,20.5,23.48,401.74
Campo Mourão (PR),75.44,12.1,7.78,843.42
Campo Novo de Rondônia (RO),71.34,22.2,13.46,507.69
Campo Novo do Parecis (MT),74.15,16.7,6.01,823.32
Campo Novo (RS),76.94,10.3,14.05,539.04
Campo Redondo (RN),70.47,25.3,27.71,251.73
Campos Altos (MG),76.62,13,10.51,587.21
Campos Belos (GO),73.87,14.8,16.46,487.96
Campos Borges (RS),74.16,13.9,9.92,637.46
Campos de Júlio (MT),74.49,16.2,6.18,1162.4
Campos do Jordão (SP),76.1,13.1,4.67,911.4
Campos dos Goytacazes (RJ),74.82,14.72,7.21,682.59
Campos Gerais (MG),74.27,16.5,12.25,503.91
Campos Lindos (TO),69.25,28.9,23.42,292.64
Campos Novos Paulista (SP),74.41,15.6,10.64,516.26
Campos Novos (SC),76.64,11.4,7.1,708.77
Campos Sales (CE),71.11,23.3,31.53,303.68
Campos Verdes (GO),72.73,16.5,21.02,351.52
Campo Verde (MT),75.06,15.3,6.79,878.37
Camutanga (PE),70.58,25.2,28.75,278.04
Canaã dos Carajás (PA),73.06,19.88,10.65,517.33
Canaã (MG),72.88,18.8,15.54,439.71
Canabrava do Norte (MT),74.01,16.9,12.23,370.81
Cananéia (SP),76.07,13.1,8.01,540.54
Canapi (AL),68.11,35.9,44.16,183.83
Canápolis (BA),68.93,30.8,33.68,217.86
Canápolis (MG),77.32,12,15.54,711.27
Canarana (BA),69.04,30.4,20.43,252.39
Canarana (MT),74.51,16.2,10.66,774.65
Canas (SP),72.83,18.3,6.34,444.72
Cana Verde (MG),74.25,16.5,12.94,463.1
Canavieira (PI),71.67,23,28.87,209.47
Canavieiras (BA),72.74,19.8,21.05,325.61
Candeal (BA),72.19,21.2,27.86,251.54
Candeias (BA),74.39,15.8,9.6,462.57
Candeias do Jamari (RO),74.11,15.4,11.93,463.63
Candeias (MG),74.81,15.6,14.74,621.22
Candelária (RS),75.49,12.1,10.03,620.92
Candiba (BA),69.56,28.8,27.36,290.99
Cândido de Abreu (PR),71.96,17.1,17.64,438.62
Cândido Godói (RS),76.17,11.2,3.53,706.19
Cândido Mendes (MA),69.72,30.3,23.22,203.94
Cândido Mota (SP),75.71,13.7,7.35,627.55
Cândido Rodrigues (SP),76.79,12.1,9.06,837.17
Cândido Sales (BA),72.9,19.4,28.37,268.57
Candiota (RS),76.57,10.7,5.79,638.77
Candói (PR),71.69,18.7,10.22,472.4
Canela (RS),75.92,12.3,4.47,787.78
Canelinha (SC),76.89,11.1,8.42,721.27
Canguaretama (RN),68.07,32.8,29.05,256.22
Canguçu (RS),74.15,13.9,9.69,562.54
Canhoba (SE),68.3,33.1,34.5,249.3
Canhotinho (PE),68.48,31.7,39.29,234.75
Canindé (CE),70.88,23.9,26.99,278.9
Canindé de São Francisco (SE),69.48,29.2,32.8,270.17
Canitar (SP),72.46,19,11.15,480.52
Canoas (RS),76.83,10.62,2.73,952.13
Canoinhas (SC),77.42,10.4,4.62,692.87
Cansanção (BA),69.69,28.4,31.39,216.24
Cantagalo (MG),73.94,17,16.83,329.9
Cantagalo (PR),71.05,19.9,9.48,424.57
Cantagalo (RJ),74.29,15.1,10.02,641.61
Cantanhede (MA),71.45,24.9,31.34,176.61
Cantá (RR),73.19,16.8,19.01,297.59
Canto do Buriti (PI),68.41,33,32.02,279.71
Canudos (BA),67.42,36,27.35,251.59
Canudos do Vale (RS),75.38,13,11.13,854.58
Canutama (AM),70.1,25.2,31.5,206.44
Capanema (PA),72.62,19.6,14.87,356.27
Capanema (PR),73.04,15.5,7.86,701.11
Capão Alto (SC),72.74,17,10.59,550.84
Capão Bonito do Sul (RS),71.73,17.7,10.68,468.49
